RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: Cl  Br  I  

dGs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dGs        error            result           error            result           error            result           error            result        
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dG-+       error            result           error            result           error            result           error            result        
  34.656       -6.859           41.515           -7.225           41.880           -8.563           43.219           -8.925           43.581     
  40.870       -0.644           41.514           -0.384           41.254           -0.555           41.425           -2.637           43.507     
  49.952        8.438           41.515            8.062           41.890            6.843           43.109            6.376           43.577     
   9.321       -6.372           15.693           -6.614           15.936           -7.026           16.348           -7.257           16.579     
  15.535       -0.158           15.693            0.226           15.310            0.982           14.554           -0.968           16.504     
  24.618        8.925           15.693            8.673           15.945            8.380           16.237            8.044           16.574     
  -7.648       -6.460           -1.188           -6.732           -0.916           -7.479           -0.170           -7.629           -0.019     
  -1.434       -0.246           -1.188            0.108           -1.542            0.530           -1.964           -1.340           -0.094     
   7.648        8.836           -1.188            8.555           -0.907            7.928           -0.280            7.672           -0.024     
 -13.145       -8.152           -4.993           -8.402           -4.744           -9.016           -4.129           -9.147           -3.998     
  -6.931       -1.938           -4.993           -1.561           -5.370           -1.008           -5.923           -2.858           -4.073     
   2.151        7.144           -4.993            6.885           -4.734            6.391           -4.240            6.154           -4.003     
 -18.642       -9.604           -9.038           -9.832           -8.811          -10.367           -8.275          -10.478           -8.164     
 -12.428       -3.390           -9.038           -2.991           -9.437           -2.359          -10.069           -4.189           -8.239     
  -3.346        5.692           -9.038            5.455           -8.801            5.039           -8.386            4.823           -8.169     
  37.094       -9.351           46.445           -9.521           46.614          -10.490           47.584          -10.057           47.151     
  42.806       -3.639           46.445           -3.649           46.455           -3.254           46.060           -4.282           47.088     
  50.980        4.535           46.445            4.378           46.602            3.519           47.461            3.834           47.146     
  10.803       -9.620           20.423           -9.678           20.481           -9.800           20.603           -9.235           20.038     
  16.515       -3.907           20.423           -3.807           20.322           -2.564           19.079           -3.460           19.975     
  24.689        4.266           20.423            4.220           20.469            4.209           20.480            4.656           20.033     
  -6.501       -9.224            2.723           -9.361            2.860          -10.141            3.640           -9.494            2.993     
  -0.789       -3.512            2.723           -3.490            2.701           -2.905            2.117           -3.718            2.930     
   7.385        4.662            2.723            4.537            2.849            3.868            3.517            4.397            2.988     
 -12.285      -10.934           -1.351          -11.065           -1.220          -11.818           -0.467          -11.151           -1.134     
  -6.573       -5.221           -1.351           -5.193           -1.379           -4.583           -1.990           -5.376           -1.197     
   1.601        2.953           -1.351            2.833           -1.232            2.191           -0.589            2.740           -1.139     
 -17.567      -11.702           -5.865          -11.840           -5.727          -12.699           -4.867          -12.011           -5.556     
 -11.855       -5.990           -5.865           -5.968           -5.886           -5.464           -6.391           -6.235           -5.619     
  -3.681        2.184           -5.865            2.058           -5.739            1.309           -4.990            1.880           -5.561     
  37.046       -9.912           46.958          -10.049           47.094          -10.959           48.004          -10.466           47.512     
  42.949       -4.008           46.958           -4.024           46.974           -3.554           46.503           -4.500           47.449     
  50.837        3.879           46.958            3.755           47.082            2.955           47.882            3.330           47.507     
