RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: Cl  Br  I  

dHs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dHs        error            result           error            result           error            result           error            result        
 -13.982      -11.006           -2.975          -11.128           -2.854          -11.784           -2.198          -10.947           -3.034     
  -7.170       -4.091           -3.080           -4.015           -3.156           -3.344           -3.826           -4.136           -3.034     
   2.271        5.246           -2.975            5.124           -2.854            4.600           -2.329            5.305           -3.034     
  46.463       -7.352           53.815           -7.460           53.923           -7.831           54.294           -7.297           53.760     
  52.725       -0.992           53.716           -0.919           53.644            0.035           52.690           -1.035           53.760     
  62.094        8.279           53.815            8.171           53.923            7.931           54.162            8.334           53.760     
  18.786       -5.975           24.761           -6.022           24.807           -6.673           25.459           -5.949           24.735     
  25.048        0.385           24.663            0.519           24.528            1.193           23.855            0.313           24.735     
  34.417        9.656           24.761            9.609           24.807            9.090           25.327            9.682           24.735     
  -0.765       -7.262            6.497           -7.363            6.598           -8.054            7.289           -7.211            6.446     
   5.497       -0.902            6.399           -0.822            6.319           -0.188            5.685           -0.949            6.446     
  14.866        8.369            6.497            8.268            6.598            7.709            7.158            8.420            6.446     
  -8.317      -10.384            2.066          -10.485            2.167          -11.204            2.887          -10.332            2.015     
  -2.055       -4.023            1.968           -3.944            1.888           -3.338            1.283           -4.070            2.015     
   7.314        5.247            2.066            5.146            2.167            4.558            2.755            5.299            2.015     
 -14.818      -12.130           -2.688          -12.245           -2.574          -12.976           -1.842          -12.073           -2.745     
  -8.556       -5.770           -2.786           -5.704           -2.853           -5.110           -3.446           -5.811           -2.745     
   0.813        3.500           -2.688            3.387           -2.574            2.786           -1.973            3.558           -2.745     
  45.339       -8.584           53.923           -8.689           54.029           -9.119           54.459           -8.528           53.868     
  52.414       -1.419           53.833           -1.365           53.779           -0.472           52.886           -1.454           53.868     
  60.899        6.975           53.923            6.870           54.028            6.572           54.327            7.031           53.868     
  17.854       -7.015           24.869           -7.059           24.913           -7.769           25.623           -6.989           24.842     
  24.928        0.150           24.778            0.265           24.663            0.878           24.050            0.086           24.842     
  33.413        8.544           24.869            8.501           24.913            7.922           25.491            8.571           24.842     
  -1.769       -8.369            6.601           -8.468            6.699           -9.217            7.449           -8.317            6.549     
   5.306       -1.204            6.510           -1.144            6.450           -0.570            5.876           -1.243            6.549     
  13.791        7.190            6.601            7.092            6.699            6.474            7.317            7.242            6.549     
 -15.296      -12.707           -2.590          -12.818           -2.478          -13.609           -1.688          -12.648           -2.648     
  -8.222       -5.541           -2.681           -5.494           -2.728           -4.961           -3.260           -5.574           -2.648     
   0.263        2.853           -2.590            2.741           -2.478            2.082           -1.819            2.911           -2.648     
  50.621       -6.934           57.555           -6.892           57.513           -8.001           58.623           -6.931           57.552     
  54.374       -3.137           57.511           -3.068           57.442           -2.864           57.238           -3.178           57.552     
  61.401        3.845           57.556            3.886           57.515            2.907           58.493            3.849           57.552     
  23.614       -4.880           28.493           -4.776           28.390           -6.165           29.779           -4.905           28.518     
  27.366       -1.082           28.449           -0.952           28.318           -1.028           28.394           -1.152           28.518     
  34.393        5.899           28.494            6.001           28.392            4.744           29.649            5.875           28.518     
   5.617       -4.216            9.833           -4.184            9.801           -5.591           11.208           -4.208            9.825     
   9.369       -0.419            9.788           -0.360            9.729           -0.454            9.823           -0.456            9.825     
  16.396        6.562            9.834            6.593            9.802            5.318           11.078            6.571            9.825     
  -0.191       -5.473            5.281           -5.446            5.255           -6.875            6.683           -5.462            5.271     
   3.561       -1.675            5.237           -1.622            5.183           -1.737            5.299           -1.710            5.271     
  10.588        5.306            5.282            5.332            5.256            4.034            6.554            5.317            5.271     
  -7.146       -7.428            0.282           -7.424            0.278           -8.852            1.706           -7.407            0.260     
  -3.394       -3.631            0.237           -3.600            0.206           -3.715            0.321           -3.654            0.260     
   3.633        3.351            0.282            3.353            0.280            2.057            1.576            3.373            0.260     
  29.541        1.870           27.671            1.929           27.612            0.748           28.793            1.858           27.683     
  32.553        4.947           27.606            5.093           27.460            5.229           27.324            4.869           27.683     
  39.030       11.358           27.672           11.418           27.612           10.368           28.662           11.346           27.683     
  11.185        2.106            9.079            2.098            9.088            0.894           10.291            2.126            9.060     
  14.197        5.183            9.014            5.261            8.936            5.375            8.822            5.137            9.060     
  20.674       11.595            9.079           11.586            9.088           10.514           10.160           11.614            9.060     
  -0.526       -0.119           -0.407           -0.154           -0.372           -1.381            0.855           -0.087           -0.438     
   2.486        2.958           -0.472            3.010           -0.524            3.100           -0.614            2.924           -0.438     
   8.963        9.369           -0.407            9.335           -0.372            8.239            0.724            9.401           -0.438     
  50.382       -5.824           56.207           -5.848           56.231           -6.639           57.022           -5.801           56.183     
  53.991       -2.141           56.132           -2.052           56.044           -1.524           55.515           -2.192           56.183     
  60.612        4.405           56.207            4.382           56.230            3.722           56.890            4.429           56.183     
  24.976       -2.159           27.135           -2.122           27.098           -3.192           28.168           -2.164           27.140     
  28.585        1.524           27.061            1.674           26.911            1.923           26.662            1.445           27.140     
  35.206        8.070           27.135            8.108           27.098            7.169           28.037            8.066           27.140     
   7.314       -1.281            8.595           -1.311            8.624           -2.405            9.719           -1.255            8.569     
  10.923        2.402            8.521            2.485            8.437            2.710            8.212            2.354            8.569     
  17.543        8.948            8.595            8.919            8.624            7.956            9.587            8.974            8.569     
   0.884       -3.195            4.079           -3.228            4.112           -4.346            5.230           -3.167            4.051     
   4.493        0.489            4.004            0.568            3.925            0.770            3.724            0.442            4.051     
  11.114        7.035            4.079            7.002            4.111            6.015            5.099            7.063            4.051     
  -5.641       -4.798           -0.842           -4.851           -0.789           -5.973            0.332           -4.761           -0.880     
  -2.032       -1.115           -0.917           -1.055           -0.976           -0.857           -1.174           -1.152           -0.880     
   4.589        5.431           -0.842            5.379           -0.790            4.389            0.200            5.469           -0.880     
  44.790       -6.468           51.257           -6.614           51.403           -6.320           51.110           -6.408           51.197     
  49.570       -1.533           51.103           -1.336           50.906            0.295           49.275           -1.627           51.197     
  56.310        5.050           51.259            4.899           51.411            5.323           50.986            5.113           51.197     
  20.483       -1.779           22.262           -1.861           22.344           -1.851           22.333           -1.749           22.232     
  25.263        3.156           22.107            3.417           21.846            4.765           20.498            3.031           22.232     
  32.003        9.739           22.264            9.652           22.351            9.793           22.210            9.771           22.232     
   3.752       -0.537            4.290           -0.661            4.414           -0.707            4.460           -0.488            4.240     
   8.533        4.397            4.135            4.616            3.916            5.908            2.625            4.293            4.240     
  15.272       10.981            4.292           10.851            4.421           10.936            4.336           11.032            4.240     
  -1.888       -1.842           -0.046           -1.962            0.074           -2.042            0.154           -1.794           -0.094     
