RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: F  Cl  Br  I  

dHs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dHs        error            result           error            result           error            result           error            result        
  -7.146        1.156           -8.302           -1.411           -5.735           -3.661           -3.485           -2.194           -4.952     
  -3.394       -2.437           -0.957           -1.428           -1.966            1.468           -4.862            1.558           -4.952     
   3.633       12.641           -9.009            9.971           -6.338            7.247           -3.614            8.585           -4.952     
  29.541        6.893           22.648            5.038           24.503            6.099           23.442            7.028           22.513     
  32.553        3.399           29.153            4.505           28.048           10.571           21.981           10.040           22.513     
  39.030       17.107           21.923           15.134           23.896           15.718           23.312           16.517           22.513     
  11.185        9.113            2.073            7.305            3.880            6.136            5.050            7.325            3.860     
  14.197        5.619            8.578            6.772            7.424           10.608            3.589           10.337            3.860     
  20.674       19.326            1.348           17.401            3.273           15.755            4.919           16.814            3.860     
  -0.526        7.547           -8.073            5.737           -6.262            3.805           -4.330            5.126           -5.652     
   2.486        4.053           -1.568            5.204           -2.718            8.277           -5.791            8.138           -5.652     
   8.963       17.761           -8.798           15.833           -6.870           13.424           -4.461           14.615           -5.652     
  12.452      -36.526           48.978          -38.340           50.792          -39.159           51.611          -38.604           51.056     
  50.382        0.536           49.846           -0.799           51.182           -1.121           51.503           -0.674           51.056     
  53.991       -1.994           55.985           -0.636           54.628            3.986           50.006            2.935           51.056     
  60.612       11.495           49.117           10.039           50.573            9.240           51.372            9.556           51.056     
 -12.954      -34.301           21.347          -36.303           23.349          -35.883           22.928          -34.922           21.968     
  24.976        2.761           22.215            1.237           23.739            2.155           22.821            3.008           21.968     
  28.585        0.231           28.354            1.400           27.185            7.262           21.323            6.617           21.968     
  35.206       13.719           21.486           12.075           23.130           12.516           22.690           13.237           21.968     
 -30.617      -31.522            0.905          -33.482            2.865          -35.205            4.588          -33.986            3.369     
   7.314        5.540            1.774            4.058            3.255            2.833            4.480            3.945            3.369     
  10.923        3.010            7.913            4.221            6.701            7.940            2.983            7.554            3.369     
  17.543       16.499            1.045           14.896            2.647           13.194            4.349           14.174            3.369     
 -37.046      -33.328           -3.718          -35.300           -1.746          -37.172            0.126          -35.890           -1.156     
   0.884        3.734           -2.850            2.240           -1.356            0.866            0.019            2.040           -1.156     
   4.493        1.204            3.289            2.403            2.090            5.972           -1.479            5.649           -1.156     
  11.114       14.692           -3.579           13.078           -1.964           11.226           -0.112           12.270           -1.156     
 -43.571      -34.455           -9.116          -36.424           -7.147          -38.828           -4.743          -37.477           -6.094     
  -5.641        2.607           -8.247            1.116           -6.757           -0.790           -4.851            0.453           -6.094     
  -2.032        0.077           -2.108            1.279           -3.311            4.317           -6.348            4.062           -6.094     
   4.589       13.565           -8.976           11.954           -7.365            9.571           -4.982           10.683           -6.094     
  44.790       -0.479           45.269            0.541           44.248           -0.837           45.626           -1.273           46.063     
  49.570        1.413           48.157            2.749           46.821            5.768           43.802            3.507           46.063     
  56.310       11.688           44.622           12.648           43.662           10.806           45.504           10.247           46.063     
  20.483        2.649           17.833            3.473           17.010            3.462           17.020            3.430           17.053     
  25.263        4.541           20.722            5.680           19.583           10.067           15.196            8.210           17.053     
  32.003       14.816           17.186           15.580           16.423           15.105           16.898           14.950           17.053     
   3.752        4.897           -1.145            5.696           -1.944            4.500           -0.748            4.719           -0.967     
   8.533        6.789            1.744            7.904            0.629           11.104           -2.572            9.499           -0.967     
  15.272       17.064           -1.792           17.803           -2.531           16.143           -0.870           16.239           -0.967     
  -1.888        3.415           -5.303            4.181           -6.069            3.140           -5.028            3.419           -5.307     
   2.892        5.307           -2.415            6.388           -3.496            9.744           -6.852            8.199           -5.307     
   9.632       15.582           -5.950           16.287           -6.656           14.782           -5.150           14.939           -5.307     
  -7.242        2.586           -9.828            3.315          -10.557            2.314           -9.556            2.657           -9.899     
  -2.462        4.478           -6.939            5.522           -7.984            8.918          -11.380            7.437           -9.899     
   4.278       14.753          -10.475           15.422          -11.143           13.956           -9.678           14.177           -9.899     
  21.104        1.783           19.321            1.334           19.770            1.137           19.968            1.659           19.445     
  11.974      -35.150           47.124          -36.011           47.985          -37.535           49.509          -37.222           49.196     
  39.747       -8.139           47.886           -8.599           48.346           -9.644           49.391           -9.450           49.196     
  47.682       -5.353           53.035           -3.845           51.526           -0.112           47.794           -1.515           49.196     
  56.668        9.509           47.159            8.930           47.738            7.408           49.260            7.472           49.196     
 -13.432      -32.947           19.515          -33.997           20.565          -34.267           20.835          -33.550           20.117     
  14.340       -5.936           20.276           -6.586           20.926           -6.376           20.717           -5.777           20.117     
  22.275       -3.151           25.426           -1.831           24.106            3.156           19.120            2.158           20.117     
  31.262       11.712           19.550           10.944           20.318           10.676           20.586           11.145           20.117     
 -32.505      -32.094           -0.411          -33.125            0.620          -35.201            2.696          -34.227            1.723     
  -4.732       -5.083            0.351           -5.714            0.981           -7.310            2.578           -6.455            1.723     
   3.203       -2.298            5.500           -0.959            4.162            2.222            0.981            1.480            1.723     
  12.189       12.565           -0.375           11.816            0.374            9.742            2.447           10.467            1.723     
 -38.528      -33.652           -4.876          -34.702           -3.825          -36.824           -1.704          -35.788           -2.739     
 -10.755       -6.641           -4.114           -7.291           -3.464           -8.933           -1.822           -8.016           -2.739     
  -2.820       -3.856            1.035           -2.536           -0.284            0.599           -3.419           -0.081           -2.739     
