RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: F  Cl  Br  I  

dGs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dGs        error            result           error            result           error            result           error            result        
  12.498        6.050            6.448            6.532            5.966           10.726            1.772            9.327            3.170     
   9.904        5.665            4.239            5.193            4.712            7.603            2.301            9.653            0.251     
   6.212        6.147            0.065            6.206            0.005            4.614            1.598            5.445            0.767     
   9.322        4.461            4.862            4.196            5.126            7.065            2.258            5.042            4.281     
   6.246        2.778            3.468            1.557            4.689            3.394            2.853            3.167            3.079     
   3.248        5.160           -1.912            4.482           -1.234            1.197            2.051            1.725            1.523     
  10.433        3.159            7.274            3.698            6.734            8.327            2.105            4.242            6.191     
   8.946        3.214            5.732            2.801            6.145            6.258            2.688            4.083            4.863     
   7.658        6.964            0.694            7.086            0.573            5.744            1.915            4.059            3.599     
  10.660        2.957            7.703            3.502            7.158            8.594            2.066            4.032            6.628     
   9.763        3.566            6.198            3.157            6.607            7.112            2.652            4.432            5.332     
   9.154        8.011            1.143            8.137            1.017            7.277            1.877            5.100            4.053     
   9.391        1.883            7.508            2.632            6.758            7.431            1.960            2.952            6.438     
   9.187        3.378            5.809            3.178            6.009            6.658            2.530            4.211            4.976     
   9.080        7.965            1.115            8.292            0.788            7.295            1.785            5.074            4.006     
   8.344        9.244           -0.900           10.044           -1.700            6.157            2.187           10.212           -1.868     
  -6.814       -5.658           -1.156           -4.951           -1.863           -9.052            2.237           -4.900           -1.914     
 -10.844       -7.645           -3.199           -7.883           -2.961          -13.623            2.779           -6.924           -3.920     
 -15.992       -8.317           -7.674           -8.030           -7.961          -18.044            2.052          -11.542           -4.450     
   4.760       -0.211            4.971           -0.383            5.142            2.529            2.231            0.637            4.122     
   0.168       -4.581            4.749           -4.846            5.015           -2.116            2.284           -3.937            4.106     
  -2.143       -5.373            3.230           -6.597            4.454           -5.012            2.869           -4.691            2.548     
  -5.213       -3.189           -2.023           -3.868           -1.344           -7.290            2.078           -6.565            1.352     
  -1.652       -9.004            7.353           -8.382            6.730           -3.728            2.077           -7.664            6.013     
   1.111       -6.000            7.111           -5.471            6.583           -1.017            2.128           -4.868            5.979     
   0.390       -5.055            5.445           -5.481            5.870           -2.312            2.701           -3.905            4.295     
  -0.970       -1.503            0.533           -1.392            0.423           -2.908            1.938           -4.362            3.392     
   7.364        8.718           -1.354            9.380           -2.016            5.286            2.078           10.099           -2.735     
  -8.726       -7.121           -1.605           -6.553           -2.173          -10.855            2.129           -5.962           -2.764     
 -13.043       -9.443           -3.600           -9.819           -3.223          -15.717            2.674           -8.409           -4.634     
 -18.454      -10.330           -8.124          -10.181           -8.272          -20.397            1.943          -13.151           -5.303     
   4.736        0.188            4.547           -0.115            4.851            2.612            2.124            1.457            3.278     
  -0.788       -5.119            4.331           -5.516            4.729           -2.965            2.177           -4.066            3.279     
  -3.386       -6.246            2.860           -7.601            4.216           -6.152            2.766           -5.243            1.857     
  -6.718       -4.276           -2.442           -5.088           -1.631           -8.689            1.971           -7.241            0.522     
  -0.863       -8.036            7.174           -7.497            6.634           -2.848            1.985           -6.211            5.348     
   0.968       -5.970            6.938           -5.524            6.492           -1.070            2.038           -4.363            5.331     
  -0.041       -5.360            5.319           -5.868            5.827           -2.655            2.614           -3.824            3.783     
  -1.663       -2.022            0.359           -1.994            0.331           -3.510            1.847           -4.404            2.741     
   0.311       -7.116            7.427           -6.652            6.963           -1.691            2.002           -5.502            5.813     
  -0.108       -5.952            5.845           -6.443            6.336           -2.689            2.582           -4.403            4.296     
  -1.052       -1.919            0.868           -1.874            0.823           -2.865            1.813           -4.291            3.240     
  -6.288      -13.886            7.597          -13.102            6.814           -8.141            1.852          -12.025            5.737     
  -0.241       -7.583            7.342           -6.893            6.652           -2.144            1.903           -5.945            5.703     
   0.033       -5.533            5.567           -5.793            5.827           -2.433            2.467           -3.988            4.021     
  -0.409       -1.358            0.949           -1.091            0.682           -2.137            1.728           -3.682            3.273     
  21.824       21.210            0.613           22.787           -0.964           18.862            2.962           20.286            1.538     
   7.263        6.990            0.273            8.472           -1.209            4.258            3.006            6.009            1.255     
   1.083        3.685           -2.602            4.212           -3.130           -2.399            3.481            4.210           -3.128     
  -6.981       -0.781           -6.200            0.282           -7.263           -9.805            2.824           -5.827           -1.154     
  14.750        8.825            5.925            9.318            5.432           11.780            2.970            7.631            7.119     
  10.756        5.137            5.620            5.534            5.223            7.740            3.017            3.892            6.865     
   6.294        3.026            3.268            2.455            3.839            2.759            3.535            3.363            2.931     
   0.308        1.416           -1.108            1.401           -1.092           -2.505            2.814           -3.930            4.238     
