RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: Cl  

dGs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dGs        error            result           error            result           error            result           error            result        
  -3.346       -0.722           -2.624           -2.223           -1.123           -1.958           -1.388           -1.757           -1.589     
  -8.676       -2.010           -6.666           -3.426           -5.250           -3.130           -5.546           -2.915           -5.761     
 -13.934       -2.609          -11.325           -4.400           -9.534           -3.904          -10.031           -3.673          -10.261     
  37.906        5.177           32.729            2.742           35.165            2.039           35.867            0.859           37.047     
  16.539        7.054            9.485            9.023            7.516            7.577            8.962            6.488           10.052     
   0.860        7.268           -6.407            9.354           -8.494            8.279           -7.419            7.244           -6.384     
  -4.374        4.700           -9.074            8.109          -12.483            6.953          -11.327            5.932          -10.305     
  -9.656        1.709          -11.365            6.874          -16.530            5.726          -15.381            4.717          -14.373     

Statistical Summary dG-+
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Unsigned Error             -0.000                            0.002                             -0.000                            0.000                
RMSD                       3.878                             4.872                             4.810                             4.782                
CV                         3.594                             4.652                             4.586                             4.639                
AIC                       180.068                           204.366                           198.766                           202.043               
dAIC                       0.000                             24.298                            18.698                            21.975               
AICc                     181.595                           205.067                           198.969                           202.745               
dAICc                     0.000                             23.473                            17.374                            21.150               
